"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","11001","-3.720241","-38.5114475","Fortaleza ","Roubo ","PRAIA DE IRACEMA Fomos assaltados por 2 elementos armados de revolver!",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 14/09/2013 22:30",""
"2","11002","-22.9034696","-47.0350969","Campinas ","Roubo ","Saindo do Escritório",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 23/07/2013 19:30",""
"3","11003","-23.5808795","-46.6363002","São Paulo ","Arrombamento Veicular ","Furtaram o rádio do carro",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 13/12/2012 02:00",""
"4","11004","-27.5649762","-48.6251956","São José ","Arrombamento Domiciliar ","Assalto a residência. (apto).",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE," 10/09/2013 10:30",""
"5","11005","-22.9374959","-47.0161799","Campinas ","Roubo ","Fui assaltado voltando do trabalho, em frente casa da sogra...",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 13/09/2013 13:09",""
"6","11006","-23.5701453","-46.6396329","São Paulo ","Furto ","Assalto com garrafa de vidro quebrada",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 05/02/2012 23:40",""
"7","11007","-22.922772","-47.0984706","Campinas ","Furto ","roubaram o som do meu carro",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 13/08/2013 10:00",""
"8","11008","-23.4948294","-46.7088647","São Paulo ","Assalto a grupo ","3 ladrões que mal podiam esperar o sol se pôr.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/09/2013 19:40",""
"9","11009","-22.9646924","-43.1757991","Rio de Janeiro ","Assalto a grupo ","Assaltado ao lado da viatura!",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 15/09/2013 18:30",""
"10","11010","-22.4174217","-45.4537431","Itajubá ","Furto ","Furto em república",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 26/08/2012 19:30",""
