"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","2001","-23.5564314","-46.6641103","São Paulo ","Furto ","Fui assaltada no farol",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 13/08/2013 22:16",""
"2","2002","-21.7573238","-43.3501026","Juiz de Fora ","Furto ","Assalto",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 14/08/2013 18:30",""
"3","2003","-19.8534941","-43.9220716","Belo Horizonte ","Assalto a grupo ","assalto indo para o colégio estudar",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 12/06/2013 06:05",""
"4","2004","-25.4610526","-49.2881448","Curitiba ","Furto ","Meu carro foi arrombado",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 20/03/2013 19:01",""
"5","2005","-25.4287425","-49.2751388","Curitiba ","Furto ","Fui assaltado indo pra casa",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/07/2013 06:16",""
"6","2006","-23.5729038","-46.7402803","São Paulo ","Assalto a grupo ","Fui assaltado na porta de casa",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 15/08/2013 21:30",""
"7","2007","-23.5632514","-46.6120641","São Paulo ","Roubo ","Fui assaltada no farol, no sábado ",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 10/08/2013 19:12",""
"8","2008","-23.5435848","-46.6566459","São Paulo ","Furto ","Assaltado saindo so Shopping Higienópolis",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 31/05/2013 20:15",""
"9","2009","-25.5016944","-49.2648358","Curitiba ","Roubo ","Assalto no ponto do Itamarati, voltando do colégio",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 05/03/2013 22:30",""
"10","2010","-8.1314527","-34.9109973","Recife ","Arrombamento Veicular ","Veiculo arrombado na volta do almoço",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 13/08/2013 15:30",""
"11","2011","-7.2469892","-35.9078038","Campina Grande ","Roubo ","Fui assatada voltando do trabalho.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 18/07/2013 19:55",""
"12","2012","-19.9172725","-43.909118","Belo Horizonte ","Assalto a grupo ","Fui assaltado por três que estavam na esq de baixo e me seguiram",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 14/08/2013 23:01",""
"13","2013","-19.9172725","-43.909118","Belo Horizonte ","Assalto a grupo ","Fui assaltado por três que estavam na esq de baixo e me seguiram",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 14/08/2013 23:01",""
"14","2014","-23.9522547","-46.2909213","Guarujá ","Furto ","Roubaram meu relógio Champion YoT e duas ferramentas.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 24/03/2013 00:17",""
"15","2015","-19.9026076","-43.9330303","Belo Horizonte ","Furto ","Fui assaltada esperando o ônibus",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 30/07/2013 12:15",""
"16","2016","-25.4340625","-49.2861123","Curitiba ","Furto ","Arrombaram o meu carro",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 20/05/2013 20:30",""
"17","2017","-25.504677","-49.2332298","Curitiba ","Roubo ","Fui assaltado voltando do trabalho",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 05/05/2013 20:05",""
"18","2018","-9.6437368","-35.7059487","Maceió ","Roubo ","Assaltado enquanto voltava da faculdade.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 01/03/2013 21:30",""
"19","2019","-25.517114","-49.261303","Curitiba ","Furto ","Aguardando o Itaramati no ponto final",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 05/08/2013 08:06",""
"20","2020","-24.9522344","-53.4560654","Cascavel ","Assalto a grupo ","estava sentado com um amigo",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 02/08/2013 19:15",""
"21","2021","-30.0293338","-51.2172966","Porto Alegre ","Roubo ","Terceiro assalto na Barros Cassal.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 17/07/2013 18:35",""
"22","2022","-23.544531","-46.4101809","São Paulo ","Furto ","Assaltado Voltando do Trabalho",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 14/08/2013 22:29",""
"23","2023","-25.5248227","-49.247544","Curitiba ","Furto ","Fui assaltado voltando do trabalho",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 13/08/2013 18:20",""
"24","2024","-8.0533056","-34.896616","Recife ","Roubo ","No sinal vermelho, homem anunciou assalto e pediu meu celular.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 18/07/2013 23:50",""
"25","2025","-23.5508694","-46.7191777","São Paulo ","Roubo ","Fui assaltado voltando da escola",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 31/07/2013 13:01",""
"26","2026","-22.9136193","-43.1815567","Rio de Janeiro ","Furto ","Encurralada por um bando ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 11/01/2013 00:12",""
"27","2027","-20.456899","-54.6553753","Campo Grande ","Arrombamento Domiciliar ","Assalto durante a madrugada",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE," 30/07/2013 03:01",""
"28","2028","-7.2227579","-35.8877119","Campina Grande ","Furto ","Furto no pp",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 18/06/2013 00:35",""
"29","2029","-19.8725036","-43.9272763","Belo Horizonte ","Roubo de Veículo ","Roubaram minha moto ao lado do Minas Shopping.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 11/05/2013 19:30",""
"30","2030","-7.2226464","-35.8774133","Campina Grande ","Roubo ","Fui assaltada por um cara de bicicleta",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 23/07/2013 08:30",""
"31","2031","-5.1433436","-42.7516887","Teresina ","Roubo ","assalto chegando em casa",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 05/01/2013 22:42",""
"32","2032","-19.947745","-43.921368","Belo Horizonte ","Arrombamento Veicular ","Quebraram o Vidro de traz e levaram uma mochila com equipamentos",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 24/05/2012 11:33",""
"33","2032","-19.947745","-43.921368","Belo Horizonte ","Arrombamento Veicular ","Quebraram o Vidro de traz e levaram uma mochila com equipamentos",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 24/05/2012 11:33",""
"34","2034","-7.2199832","-35.8852363","Campina Grande ","Furto ","Assaltada dentro do shopping Edson Diniz",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 03/08/2013 11:30",""
"35","2035","-12.9734378","-38.5044019","Salvador ","Furto ","Fui assaltado voltando do trabalho",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 14/05/2013 20:01",""
"36","2036","-25.4645272","-49.2350226","Curitiba ","Furto ","Fui assaltado",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 15/08/2013 22:47",""
"37","2037","-21.7477333","-43.3544091","Juiz de Fora ","Roubo ","Assaltado voltando pra casa",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/08/2012 23:01",""
"38","2038","-19.9167161","-43.9324587","Belo Horizonte ","Furto ","Abordada ao entrar no carro",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/10/2012 11:46",""
"39","2039","-19.9424211","-43.9381259","Belo Horizonte ","Roubo ","Fui assaltada voltando para casa.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/08/2013 18:50",""
"40","2040","-7.1507191","-34.8410414","João Pessoa ","Furto ","Fui assaltado voltando para casa",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 10/08/2013 23:27",""
"41","2041","-8.0757939","-34.9090918","Recife ","Roubo ","Fui assaltado no sinal vermelho por dois meliantes de bike.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 12/06/2013 18:45",""
"42","2042","-25.4081949","-49.2539727","Curitiba ","Roubo ","fui assaltado no passeio com cachorro",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/09/2012 19:30",""
"43","2043","-25.4409329","-49.2613426","Curitiba ","Furto ","no ponto de onibus",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 02/08/2013 17:48",""
"44","2044","-25.635472","-49.3178419","Fazenda Rio Grande ","Arrombamento Domiciliar ","Assalto enquanto trabalha",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE," 14/01/2013 18:01",""
"45","2045","-19.9428777","-43.927143","Belo Horizonte ","Arrombamento Veicular ","Arrobaram o vidro do carro e roubaram o som do carro.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 23/01/2013 21:40",""
"46","2046","-25.635472","-49.3178419","Fazenda Rio Grande ","Arrombamento Domiciliar ","Assalto a residencia",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE," 14/01/2013 18:01",""
"47","2047","-23.5694825","-46.7298897","São Paulo ","Roubo ","Fui assaltado voltando da faculdade",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 18/07/2013 18:30",""
"48","2048","-7.2499689","-35.9042158","Campina Grande ","Furto ","Indo ao trabalho",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/02/2013 05:50",""
"49","2049","-1.4188053","-48.447111","Belém ","Arrombamento Veicular ","Arrombamento de carro enquanto visitava cliente",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 29/01/2013 15:40",""
"50","2050","-25.4161037","-49.3275044","Curitiba ","Arrombamento Veicular ","Arrombaram e fizeram a limpa no meu carro enquanto estava no paintball",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 21/12/2012 22:34",""
"51","2051","-21.7379465","-43.3470644","Juiz de Fora ","Roubo ","Assalto voltando da igreja no domingo.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 11/08/2013 18:01",""
"52","2052","-23.6117279","-46.6701654","São Paulo ","Assalto a grupo ","assalto a mao armada no Onibus Metro Vila Mariana",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 15/08/2013 19:30",""
"53","2053","-22.9042874","-43.1883327","Rio de Janeiro ","Furto ","Fui roubada saindo do trabalho no ônibus",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 06/08/2013 18:45",""
"54","2054","-27.6137303","-48.5900167","Florianópolis ","Roubo ","meu namorado me deixando em casa. levaram carro e todos pertences",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 01/03/2013 01:01",""
"55","2055","-1.3063303","-47.9131692","Castanhal ","Roubo ","indo para casa",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 15/08/2013 21:01",""
"56","2056","-3.7289623","-38.5454104","Fortaleza ","Roubo ","Assalto",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 29/01/2013 17:20",""
"57","2057","-25.4367121","-49.2797398","Curitiba ","Arrombamento Veicular ","Arrombamento de veículo.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 25/07/2013 22:54",""
"58","2058","-7.2138116","-35.8677715","Campina Grande ","Furto ","Fui assaltada na porta de casa",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 11/06/2013 07:10",""
"59","2059","-7.211017","-35.9175409","Campina Grande ","Furto ","Fui assaltada quando saía da UEPB pra ir pra o CCBS da UFCG.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/08/2013 16:30",""
"60","2060","-15.8914447","-52.2544295","Barra do Garças ","Roubo ","Me assaltaram na Escadaria do Porto",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 25/06/2013 00:01",""
"61","2061","-23.5508502","-46.6490575","São Paulo ","Furto ","Furto por travestis na Rua Augusta",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 06/04/2013 04:01",""
"62","2062","-21.5550446","-45.4407334","Varginha ","Sequestro Relâmpago ","Abduzido ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 14/08/2013 21:30",""
"63","2063","-25.4284062","-49.2615463","Curitiba ","Roubo ","Fui assaltado por dois caras, enquanto ia para a faculdade",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 20/02/2012 07:50",""
"64","2064","-1.2932236","-47.9194712","Castanhal ","Roubo ","Indo para casa",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 15/08/2013 21:04",""
"65","2065","-22.9374603","-47.1594548","Campinas ","Roubo ","Voltando da escola São Judas Tadeu",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 20/03/2013 23:01",""
