"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","14001","-30.0679611","-51.2078738","Porto Alegre ","Furto ","assaslto de pessoas na parade de ônibus.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 26/11/2013 22:00",""
"2","14002","-1.4639987","-48.4885032","Belém ","Assalto a grupo ","3 Assaltantes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 16/06/2013 19:00",""
"3","14003","-22.9029971","-43.1818667","Rio de Janeiro ","Furto ","Abriram minha bolsa e levaram o telefone",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 27/11/2013 15:30",""
"4","14004","-1.4324418","-48.4892598","Belém ","Furto ","Fui assaltada dentro da escola.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 27/11/2013 10:00",""
"5","14005","-22.9335705","-43.1738707","Rio de Janeiro ","Roubo ","Fui assaltado ao praticar caminhada e corrida",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 28/09/2012 20:00",""
"6","14006","-22.9049321","-43.1761103","Rio de Janeiro ","Furto ","Voltando pra casa",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 09/04/2013 20:00",""
"7","14007","-23.7100921","-46.6878063","São Paulo ","Roubo ","Saindo da estação de trem",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 05/08/2013 00:30",""
"8","14008","-23.6461025","-46.6480441","São Paulo ","Roubo ","Fomos assaltados ao chegar na porta da casa de um amigo",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 27/10/2013 17:30",""
"9","14009","-7.1471635","-34.8407322","João Pessoa ","Furto ","Minha filha foi assaltada no caminho da escola",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 27/10/2013 13:00",""
"10","14010","-22.8930895","-43.30705","Rio de Janeiro ","Roubo ","Fui assaltada brutalmente indo para a faculdade.",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 18/10/2013 18:15",""
"11","14011","-7.1548451","-34.8401626","João Pessoa ","Roubo ","Fui roubada subindo a rua",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 27/11/2013 11:30",""
"12","14012","-22.8849695","-43.0967945","Niterói ","Roubo de Veículo "," CUIDADO NA 22 DE NOVEMBRO!!!",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 23/10/2013 20:30",""
"13","14013","-22.949401","-43.1789551","Rio de Janeiro ","Roubo ","Fui assaltado chegando no Rio de Janeiro",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE," 20/03/2013 10:45",""
"14","14014","-22.9238394","-43.2189829","Rio de Janeiro ","Assalto a grupo ","Fui assaltado voltando da Lapa",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 16/11/2012 03:45",""
"15","14015","-23.571709","-46.696577","São Paulo ","Furto ","Furtado entrando no onibus",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 27/11/2013 20:00",""
"16","14016","-22.9042874","-43.1883327","Rio de Janeiro ","Roubo ","Assalto no trânsito",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 27/11/2013 18:45",""
