"","latitude","longitude","place","name","type","suburb"
"1",-22.9299561,-43.0881088,"Niteroi","Rampa Norte","Ponto Turistico","Charitas"
"2",-22.9300719,-43.0877019,"Niteroi","Rampa Sul","Ponto Turistico","Charitas"
"3",-22.8999684,-43.1143159,"Niteroi","Hotel Fagundes Varela","Ponto Turistico","Ingá"
"4",-22.9385766,-43.1310176,"Niteroi","Fortaleza de Santa Cruz da Barra","Restaurante","Jurujuba"
"5",-22.9115785,-43.1087792,"Niteroi","La Mole","Restaurante","Icaraí"
"6",-22.9408596,-43.0559479,"Niteroi","NULL","Super Mercado","Jacaré"
"7",-22.9279108,-43.095672,"Niteroi","Hum Grill","Restaurante","Charitas"
"8",-22.9028026,-43.1108805,"Niteroi","Pizzaria de Icaraí","Restaurante","Icaraí"
"9",-22.9042618,-43.1097962,"Niteroi","Itaú","Banco","Icaraí"
"10",-22.9027656,-43.1132585,"Niteroi","Nando","Super Mercado","Icaraí"
"11",-22.9026799,-43.1112824,"Niteroi","NULL","Bar","Icaraí"
"12",-22.9027893,-43.1114061,"Niteroi","NULL","Restaurante","Icaraí"
"13",-22.9028369,-43.1114775,"Niteroi","Spoleto","Restaurante","Icaraí"
"14",-22.9038288,-43.1116546,"Niteroi","Financiadora","Banco","Icaraí"
"15",-22.9025348,-43.1114513,"Niteroi","Santander","Banco","Icaraí"
"16",-22.9024468,-43.1115608,"Niteroi","Tim","Loja de Eletronicos","Icaraí"
"17",-22.8934988,-43.1240548,"Niteroi","NULL","Quiosque","Centro"
"18",-22.8942508,-43.1190843,"Niteroi","Banco do Brasil","Banco","Centro"
"19",-22.8942886,-43.1199243,"Niteroi","Sabor de Niterói","Restaurante","Centro"
"20",-22.8942832,-43.119996,"Niteroi","Estácio de Sá","Universidade","Centro"
"21",-22.8941618,-43.1216149,"Niteroi","Hortelã","Restaurante","Centro"
"22",-22.8941751,-43.1214464,"Niteroi","Ponto Frio","Loja de Eletronicos","Centro"
"23",-22.8941419,-43.1218678,"Niteroi","Antoniu's","Restaurante","Centro"
"24",-22.8941352,-43.1219521,"Niteroi","Insinuante","Loja de Eletronicos","Centro"
"25",-22.8941552,-43.1216992,"Niteroi","Estácio","Universidade","Centro"
"26",-22.8941153,-43.122205,"Niteroi","BV Financeira","Banco","Centro"
"27",-22.894122,-43.1221207,"Niteroi","Monteiro","Restaurante","Centro"
"28",-22.894065,-43.1228271,"Niteroi","Italiana","Restaurante","Centro"
"29",-22.8940581,-43.1229008,"Niteroi","Itaú","Banco","Centro"
"30",-22.8940512,-43.1229745,"Niteroi","Cédula Empréstimos","Banco","Centro"
"31",-22.8940374,-43.1231219,"Niteroi","Bem Vindo","Banco","Centro"
"32",-22.8940167,-43.123343,"Niteroi","Roma Tel","Loja de Eletronicos","Centro"
"33",-22.8940029,-43.1234904,"Niteroi","Oi","Loja de Eletronicos","Centro"
"34",-22.9004436,-43.1047924,"Niteroi","desordem","Bar","Icaraí"
"35",-22.9010056,-43.1046848,"Niteroi","Ativa Restaurante","Restaurante","Icaraí"
"36",-22.9003823,-43.1046177,"Niteroi","Rei do Som","Loja de Eletronicos","Icaraí"
"37",-22.9016371,-43.1026719,"Niteroi","Centrocardio","Clinica","Icaraí"
"38",-22.9008332,-43.1095051,"Niteroi","CCAA","Escola","Icaraí"
"39",-22.9007199,-43.1096281,"Niteroi","Ibeu","Escola","Icaraí"
"40",-22.8997943,-43.1101172,"Niteroi","Instituto Brasil América","Escola","Icaraí"
"41",-22.8996289,-43.1102873,"Niteroi","Sistema Elite de Ensino","Escola","Icaraí"
"42",-22.9058605,-43.1131399,"Niteroi","Broadway","Bar","Icaraí"
"43",-22.9057619,-43.1130239,"Niteroi","Friends","Bar","Icaraí"
"44",-22.942316,-43.05679,"Niteroi","Escola Municipal Francisco Portugal Neves","Escola","Jacaré"
"45",-22.8939242,-43.1240547,"Niteroi","Neltur - Tourist Information","Ponto Turistico","Centro"
"46",-22.8988263,-43.1304381,"Niteroi","Caverna do Bin Laden","Bar","Gragoatá"
"47",-22.8966313,-43.1256698,"Niteroi","Teatro MPB-4","Teatro","Ingá"
"48",-22.8966197,-43.1264197,"Niteroi","Só Pensa no Quilo","Restaurante","Ingá"
"49",-22.9047539,-43.1299219,"Niteroi","Netu's","Bar","Boa Viagem"
"50",-22.8768255,-43.0268118,"Niteroi","Real","Super Mercado","Maria Paula"
"51",-22.8873551,-43.0335602,"Niteroi","Pérola","Super Mercado","Pendotiba"
"52",-22.8876392,-43.0335924,"Niteroi","Glamout","Restaurante","Pendotiba"
"53",-22.8776262,-43.0267689,"Niteroi","Posto Petrobras","Posto de Gasolina",NA
"54",-22.8877677,-43.0330667,"Niteroi","Posto Ipiranga Glamout","Posto de Gasolina","Pendotiba"
"55",-22.9064524,-43.0568418,"Niteroi","Posto Esso","Posto de Gasolina","Pendotiba"
"56",-22.9085518,-43.1080416,"Niteroi","NULL","Ponto Turistico","Icaraí"
"57",-22.9059899,-43.1074962,"Niteroi","Tevere","Super Mercado","Icaraí"
"58",-22.8983112,-43.1289613,"Niteroi","NULL","Quiosque","Gragoatá"
"59",-22.8974687,-43.1255574,"Niteroi","Busto do Professor Mazzini Bueno","Ponto Turistico","Ingá"
"60",-22.8966114,-43.1259892,"Niteroi","NULL","Bar","Ingá"
"61",-22.911944,-43.108205,"Niteroi","Tower Hotel Icarai","Ponto Turistico","Icaraí"
"62",-22.8900654,-43.1226119,"Niteroi","Banco Itaú","Banco","Centro"
"63",-22.9293831,-43.1119153,"Niteroi","NULL","Ponto Turistico","Jurujuba"
"64",-22.9310158,-43.1133393,"Niteroi","NULL","Ponto Turistico","Jurujuba"
"65",-22.9325946,-43.1145057,"Niteroi","Colégio Estadual Fernando Magalhães","Escola","Jurujuba"
"66",-22.9239171,-43.1217993,"Niteroi","Pedra do Morcego","Ponto Turistico","Jurujuba"
"67",-22.9361544,-43.1081903,"Niteroi","NULL","Ponto Turistico","Jurujuba"
"68",-22.9071625,-43.1311766,"Niteroi","NULL","Ponto Turistico","Boa Viagem"
"69",-22.8993948,-43.1310331,"Niteroi","Cantareira","Ponto Turistico","Gragoatá"
"70",-22.939954,-43.0453518,"Niteroi","Motel Status","Ponto Turistico","Jacaré"
"71",-22.8874481,-43.0964681,"Niteroi","Bar do Pinto","Bar","Pé Pequeno"
"72",-22.881306,-43.0953332,"Niteroi","Gerezim","Super Mercado","Fonseca"
"73",-22.8892727,-43.0954942,"Niteroi","NULL","Bar","Pé Pequeno"
"74",-22.8893221,-43.0960252,"Niteroi","NULL","Posto de Gasolina","Pé Pequeno"
"75",-22.9137354,-43.11007,"Niteroi","NULL","Ponto Turistico","Ingá"
"76",-22.9015278,-43.0961681,"Niteroi","NULL","Ponto Turistico","Santa Rosa"
"77",-22.8854118,-43.1250006,"Niteroi","NULL","Restaurante","Centro"
