"","n_occurrence","latitude","longitude","city","occurrence_type","occurrence_title","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date_time","occurrence_description"
"1","16001","-25.4306499","-49.2842838","Curitiba ","Furto ","Fui roubado em frente ao meu trabalho",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/02/2014 17:45",""
"2","16002","-23.5938217","-46.6292229","São Paulo ","Roubo ","Assaltado saindo do metrô",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 06/02/2014 23:15",""
"3","16003","-22.9024174","-43.1737196","Rio de Janeiro ","Roubo ","Assaltada por 2 homens com um facão no ponto do mergulhão",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 01/11/2013 19:30",""
"4","16004","-25.420147","-49.2573639","Curitiba ","Arrombamento Veicular ","O carro foi arrombado em visita para minha sogra.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE," 07/02/2014 21:00",""
"5","16005","-23.3507753","-46.7554327","Caieiras ","Furto ","furto de moto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 05/08/2013 03:00",""
"6","16006","-23.0985856","-52.4732588","Paranavaí ","Arrombamento Domiciliar ","JANELA DO QUARTO DANIFICADA",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 04/02/2014 01:00",""
"7","16007","-12.9039128","-38.4000545","Salvador ","Roubo de Veículo ","Fui assaltada trabalhando ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/02/2014 14:00",""
"8","16008","-3.7478071","-38.5268901","Fortaleza ","Roubo ","Estava passeando com o cachorro",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/02/2014 08:30",""
"9","16009","-23.6311376","-46.6233475","São Paulo ","Roubo ","Assaltado entrando na garagem do Prédio",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 01/01/2012 23:00",""
"10","16010","-3.7383839","-38.5635045","Fortaleza ","Roubo de Veículo ","Fui assaltada em frente a casa da minha sogra",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 06/02/2014 03:30",""
"11","16011","-25.4509777","-49.2667852","Curitiba ","Furto ","Roubo de Step em frente a Lc Locadora de Veiculos",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 07/02/2014 22:15",""
"12","16012","-23.5442644","-46.631188","São Paulo ","Furto ","Furto na esquina da rua 25 de Março",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/02/2014 09:15",""
"13","16013","-19.9891472","-43.994996","Belo Horizonte ","Assalto a grupo ","Assalto coletivo roubo celulares",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 03/02/2014 22:15",""
"14","16014","-5.8144136","-35.2055786","Natal ","Roubo de Veículo ","roubaram minha moto shineray 50 vermelha",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/02/2014 11:00",""
"15","16015","-23.6703271","-46.6814615","São Paulo ","Roubo de Veículo ","Levaram meu carro chegando do trabalho pela 3º Vez",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 06/02/2014 10:30",""
"16","16016","-22.8058165","-43.4200671","Nilópolis ","Roubo ","assalto a mão armada",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 08/02/2014 20:15",""
"17","16017","-23.657556","-46.597542","São Bernardo do Campo ","Roubo ","Assaltado em frente á casa",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE," 06/02/2014 23:45",""
